Data;Kurs
2020-04-28;4.18721
2020-04-29;4.20244
2020-04-30;4.17952
2020-05-01;4.15003
2020-05-04;4.16285
2020-05-05;4.17184
2020-05-06;4.18394
2020-05-07;4.2149
2020-05-08;4.2041
2020-05-11;4.20167
2020-05-12;4.21844
2020-05-13;4.2072
2020-05-14;4.22017
2020-05-15;4.21996
2020-05-18;4.22129
2020-05-19;4.18185
2020-05-20;4.16581
2020-05-21;4.12957
2020-05-22;4.12284
2020-05-25;4.14396
2020-05-26;4.13119
2020-05-27;4.04457
2020-05-28;4.0272
2020-05-29;4.02178
2020-06-01;3.99202
